depth	FcPHz	FcSHz	FcPFcS
08.46	10.28	08.95	1.15
22.06	05.45	04.12	1.32
18.86	06.71	06.05	1.11
24.61	10.17	08.16	1.25
11.63	05.32	04.06	1.31
16.37	09.55	08.12	1.18
07.25	09.35	06.89	1.36
10.00	06.11	05.23	1.17
19.83	09.52	06.32	1.51
18.19	06.41	05.23	1.23
02.53	09.20	08.04	1.14
18.04	11.55	09.36	1.23
23.35	12.05	08.95	1.35
13.06	11.23	09.47	1.19
17.47	09.32	07.74	1.20
21.90	09.84	06.87	1.43
08.67	09.26	08.06	1.15
01.51	06.22	04.74	1.31
13.27	05.43	04.12	1.32
21.98	06.74	04.48	1.50
14.86	08.52	06.54	1.30
06.74	06.15	04.88	1.26
04.20	10.46	08.00	1.31
03.82	09.44	06.74	1.40
07.63	09.11	07.30	1.25
07.78	05.32	04.00	1.33
24.43	06.55	05.25	1.25
03.86	05.10	04.12	1.24
18.31	06.88	05.33	1.29
20.22	11.04	09.03	1.22
15.06	06.18	05.13	1.20
14.24	06.00	04.12	1.46
25.01	10.56	09.57	1.10
06.23	06.88	05.13	1.34
07.34	06.15	04.77	1.29
14.65	06.45	05.11	1.26
10.12	09.22	06.12	1.51
12.62	07.12	05.00	1.42
22.08	08.95	07.73	1.16
23.26	11.75	09.05	1.30
11.83	06.54	06.00	1.09
18.21	05.61	04.23	1.33
03.93	11.47	08.45	1.36
10.32	07.20	05.11	1.41
19.03	08.27	06.73	1.23
19.91	12.54	09.24	1.36
10.75	06.11	04.63	1.32
02.73	05.47	04.33	1.26
16.77	09.67	08.24	1.17
16.39	08.22	06.12	1.34
19.17	05.15	04.00	1.29
14.43	07.12	05.47	1.30
04.27	05.84	04.00	1.46
22.64	07.32	06.14	1.19
12.90	06.48	04.88	1.33
20.01	11.49	08.50	1.35
06.01	08.42	06.21	1.36
19.47	10.04	08.10	1.24
12.89	10.47	07.88	1.33
06.63	06.44	04.77	1.35
16.84	07.11	06.12	1.16
03.88	06.15	04.12	1.49
12.12	08.92	06.75	1.32
14.11	08.19	06.20	1.32
17.55	06.14	05.88	1.04
05.25	08.64	07.81	1.11
15.63	08.42	06.21	1.36
18.24	10.34	07.74	1.34
04.47	10.08	08.00	1.26
17.87	06.58	05.47	1.20
04.72	08.28	06.08	1.36
11.48	09.23	06.11	1.51
03.33	08.44	05.87	1.44
08.68	11.47	08.04	1.43
21.20	05.86	04.11	1.43
06.93	10.44	08.64	1.21
06.80	04.78	04.14	1.15
10.00	05.20	04.06	1.28
08.50	08.98	06.14	1.46
04.73	05.37	04.22	1.27
16.54	08.10	06.30	1.29
23.58	05.11	04.07	1.26
14.49	06.75	04.58	1.47
10.02	06.60	05.45	1.21
15.22	05.77	05.40	1.07
03.45	07.05	05.54	1.27
20.21	06.25	05.00	1.25
21.70	08.30	07.30	1.14
15.87	10.14	07.48	1.36
03.99	05.20	04.86	1.07
16.72	05.13	04.44	1.16
12.63	10.20	08.21	1.24
17.53	10.25	08.74	1.17
04.37	06.88	05.77	1.19
02.49	09.19	07.94	1.16
21.43	05.63	04.88	1.15
03.85	06.85	04.55	1.51
09.80	05.89	04.12	1.43
10.36	08.66	05.80	1.49
08.85	11.27	07.80	1.44
12.15	06.22	04.63	1.34
22.78	06.88	05.88	1.17
17.56	08.14	07.33	1.11
11.85	07.00	05.66	1.24
07.19	07.48	06.82	1.10
16.98	09.33	06.89	1.35
15.71	10.08	08.41	1.20
23.35	07.55	06.15	1.23
10.65	08.47	07.23	1.17
12.98	12.88	09.12	1.41
07.14	06.24	05.12	1.22
12.93	07.23	05.00	1.45
19.42	07.22	04.77	1.51
04.75	09.16	08.00	1.15
07.73	09.14	07.12	1.28
18.14	06.11	05.11	1.20
17.60	08.24	06.04	1.36
10.59	06.07	04.52	1.34
18.80	10.41	07.21	1.44
09.21	07.33	06.18	1.19
13.74	09.55	08.33	1.15
08.58	09.29	08.17	1.14
12.91	10.00	08.50	1.18
12.00	06.00	05.11	1.17
05.09	06.44	04.86	1.33
23.28	10.24	08.75	1.17
